BL_installed,Factor_V2G,Grid_Store_Max,Wind_Installed,Solar_Installed,CR,Cap,V2G_Connect_Cost,Power_Capacity
15000.0,0.3,20000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.3,20000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.3,20000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.3,20000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.3,20000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.3,25000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.3,25000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.3,25000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.3,25000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.3,25000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.3,30000.0,15.625,50000.0,0.0187,0.8,2000,333199647.79
15000.0,0.3,30000.0,15.625,50000.0,0.0259,0.8,2000,333199647.79
15000.0,0.3,30000.0,15.625,50000.0,0.0331,0.8,2000,333199647.79
15000.0,0.3,30000.0,15.625,50000.0,0.0403,0.8,2000,333199647.79
15000.0,0.3,30000.0,15.625,50000.0,0.0475,0.8,2000,333199647.79
15000.0,0.3,30000.0,18.75,40000.0,0.0187,0.8,2000,331031703.28000003
15000.0,0.3,30000.0,18.75,40000.0,0.0259,0.8,2000,331031703.28000003
15000.0,0.3,30000.0,18.75,40000.0,0.0331,0.8,2000,331031703.28000003
15000.0,0.3,30000.0,18.75,40000.0,0.0403,0.8,2000,331031703.28000003
15000.0,0.3,30000.0,18.75,40000.0,0.0475,0.8,2000,331031703.28000003
15000.0,0.3,30000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
15000.0,0.3,30000.0,18.75,50000.0,0.0259,0.8,2000,353118140.17
15000.0,0.3,30000.0,18.75,50000.0,0.0331,0.8,2000,353118140.17
15000.0,0.3,30000.0,18.75,50000.0,0.0403,0.8,2000,353118140.17
15000.0,0.3,30000.0,18.75,50000.0,0.0475,0.8,2000,353118140.17
15000.0,0.5,15000.0,18.75,50000.0,0.0187,0.8,2000,353118140.17
