scenario_name,scenario_index,run_index,status,Year,Share_EV_init,Solar_Installed_MW,Wind_Installed_MW,Baseload_Installed_MW,Grid_Store_Max_MWh,Factor_V2G,Factor_NSC,Factor_Smart_Charge,V2G_Connect_Cost,NG_Fact,NG_Installed,SC_CR,V2G_CR,V2G_DR,SC_Floor,V2G_Floor,Cap,pass_count,min_pass_count,Combined_LCOE,Carbon_Adjusted_LCOE_SCC_51,Carbon_Adjusted_LCOE_SCC_120,Carbon_Adjusted_LCOE_SCC_190,Carbon_Adjusted_LCOE_SCC_340,Total_Deficit,Curtailment,V2G_Total,Total_GS_Used,Total_Grid_CO2_Tonnes,Combined_LCOE_mean,Combined_LCOE_std,Combined_LCOE_min,Combined_LCOE_max,Carbon_Adjusted_LCOE_SCC_51_mean,Carbon_Adjusted_LCOE_SCC_51_std,Carbon_Adjusted_LCOE_SCC_51_min,Carbon_Adjusted_LCOE_SCC_51_max,Carbon_Adjusted_LCOE_SCC_120_mean,Carbon_Adjusted_LCOE_SCC_120_std,Carbon_Adjusted_LCOE_SCC_120_min,Carbon_Adjusted_LCOE_SCC_120_max,Carbon_Adjusted_LCOE_SCC_190_mean,Carbon_Adjusted_LCOE_SCC_190_std,Carbon_Adjusted_LCOE_SCC_190_min,Carbon_Adjusted_LCOE_SCC_190_max,Carbon_Adjusted_LCOE_SCC_340_mean,Carbon_Adjusted_LCOE_SCC_340_std,Carbon_Adjusted_LCOE_SCC_340_min,Carbon_Adjusted_LCOE_SCC_340_max,successful_runs,attempted_runs,passing_lcoes_pipe,failure_reasons
baseline,0,1,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.01220877630318,88.09245820409878,89.55397213582222,91.03666742887499,94.21387162827378,62141567.71586019,29346083.509529863,1193002.3900178089,1.0,6783928.1158716325,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,2,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.12724716803257,88.2063382769812,89.66628507144112,91.14739051509612,94.32118789435683,62568787.90294303,29213255.00476656,1217688.0526255772,1.0,6774101.462456168,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,3,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.2018563248472,88.2825776574313,89.74473004857451,91.22807305408212,94.40666520874126,62680482.19198133,29060212.596295726,1033395.075091425,1.0,6761384.016284326,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,4,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.24748297844602,88.32894570228905,89.79210115219435,91.27646175354754,94.45723447073294,62084381.19912369,29062986.790103503,1188241.0622155003,1.0,6769400.962830506,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,5,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,86.55695384224876,87.62858288298038,89.07843393808787,90.54929732732734,93.70114744712622,62356741.3749984,28892264.601462148,1063986.4878781093,1.0,6768131.350576885,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,6,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,86.86399084712016,87.9420278238376,89.4005484393965,90.88020703489104,94.05090402523646,62025854.3635358,29243442.126962207,1177040.726687705,1.0,6777106.372954969,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,7,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,86.76786965045831,87.8445914372386,89.30133267817666,90.77918611101236,93.94601489566031,61742865.71465593,29650748.619829193,1081033.7438663137,1.0,6788919.854703981,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,8,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.19115642216414,88.27396857796553,89.7389497299321,91.22516249279676,94.40990412750672,62200306.585843496,29606540.415553473,1239889.8820509524,1.0,6782027.569197335,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,9,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,86.51444892682022,87.5921096776259,89.05012128165711,90.52926348864531,93.69885393219143,62071237.58385305,29349416.300132446,1303446.5956516485,1.0,6792701.91740148,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
baseline,0,10,success,2050,0.98,30000.0,60000.0,20000.0,10000.0,0.5,0.15,0.85,2000.0,0.0,0.0,0.0475,0.0475,0.0475,30,30,0.8,1,1,87.34937609513204,88.42991833524727,89.89182842481492,91.37492561712992,94.55299102923351,61621216.59669492,29060570.954104457,1068512.2633605544,1.0,6775315.283612968,87.07290579119044,0.26763129096391514,86.51444892682022,87.75546084526569,88.1518025026997,0.2701303908247068,87.5921096776259,88.84005720744051,89.6114862888593,0.27352855282395433,89.05012128165711,90.30745228567703,91.09232491249949,0.27699529601858364,90.52926348864531,91.79611395925032,94.26555053458559,0.28448629482649024,93.69885393219143,94.98610325976449,46,50,87.012209|87.127247|87.201856|87.247483|86.556954|86.863991|86.767870|87.191156|86.514449|87.349376|87.073509|87.082110|87.162346|87.552969|86.975341|87.027828|86.719078|87.269579|87.055360|87.755461|86.811498|86.866855|86.664193|86.913480|86.936969|86.922745|87.370154|86.891212|87.315129|86.811462|87.289998|86.828224|86.913385|87.191664|87.309783|87.272172|87.040862|87.226376|87.377607|86.575233|87.146100|87.478155|87.209876|87.217215|87.317183|86.949964,
